GPU #,Compute Latency,Global Memory Read Energy,Global Memory Write Energy,GPU Memory Read Energy,GPU Memory Write Energy,Compute Energy,Communication Energy
4,58720256,241591910400,1073741824,38959111471104,722628247552,768756196311,0
6,40370176,241591910400,1073741824,36553929785344,722628247552,768756196311,0
8,29360128,241591910400,1073741824,35110820773888,722628247552,768756196311,0
10,23855104,241591910400,1073741824,34389266268160,722628247552,768756196311,0
16,14680064,241591910400,1073741824,33186675425280,722628247552,768756196311,0
32,7562239.986,241591910400,1073741824,32224602750976,722628247552,768756196311,0
