GPU #,Compute Latency,Global Memory Read Energy,Global Memory Write Energy,GPU Memory Read Energy,GPU Memory Write Energy,Compute Energy,Communication Energy
4,6291456,1114678231040,292057776128,6601364733952,1958639304704,82366735319,0
6,4718592,1114678231040,292057776128,6600290992128,1958639304704,82366735319,0
8,3145728,1114678231040,292057776128,6599217250304,1958639304704,82366735319,0
10,3145728,1114678231040,292057776128,6599217250304,1958639304704,82366735319,0
16,1906943.996,1114678231040,292057776128,6598143508480,1958639304704,82366735319,0
32,1906943.996,1114678231040,292057776128,6598143508480,1958639304704,82366735319,0
