Blocksize,Compute Latency,Global Memory Read Energy,Global Memory Write Energy,GPU Memory Read Energy,GPU Memory Write Energy,Compute Energy,Communication Energy
64,58720256,241591910400,1073741824,62048855654400,725849473024,768756196311,
128,29360128,241591910400,1073741824,61808337485824,485331304448,768756196311,
256,14680064,241591910400,1073741824,62048855654400,365072220160,768756196311,
512,7438335.99,241591910400,1073741824,62048855654400,304942678016,768756196311,
1024,7438335.99,241591910400,1073741824,62048855654400,274877906944,768756196311,
