Blocksize,Compute Latency,Global Memory Read Energy,Global Memory Write Energy,GPU Memory Read Energy,GPU Memory Write Energy,Compute Energy,Communication Energy
64,4718592,1114678231040,292057776128,6600290992128,1958639304704,82366735319,0
128,2359296,1114678231040,292057776128,6590090444800,1950049370112,82366735319,0
256,1905343.996,1114678231040,292057776128,6584990171136,1945754402816,82366735319,0
512,1904991.996,1114678231040,292057776128,6582440034304,1943606919168,82366735319,0
1024,1904991.996,1114678231040,292057776128,6582440034304,1943606919168,82366735319,0
