Blocksize,Compute Latency,Global Memory Read Energy,Global Memory Write Energy,GPU Memory Read Energy,GPU Memory Write Energy,Compute Energy,Communication Energy
64,58720256,241591910400,1073741824,38959111471104,722628247552,768756196311,0
128,29360128,241591910400,1073741824,38718593302528,482110078976,768756196311,0
256,14680064,241591910400,1073741824,38598334218240,361850994688,768756196311,0
512,7590463.986,241591910400,1073741824,38538204676096,301721452544,768756196311,0
1024,7590175.986,241591910400,1073741824,38508139905024,271656681472,768756196311,0
