GPU #,Compute Latency,Global Memory Read Energy,Global Memory Write Energy,GPU Memory Read Energy,GPU Memory Write Energy,Compute Energy,Communication Energy (fJ),Communication Latency,Compute Latency,comm latency ms,comm energy mJ
4,58720256,2.42E+11,1.07E+09,6.20E+13,7.26E+11,7.69E+11,1.47E+09,39108,"58,720,256.00",0.39108,14.65658
6,39161856,2.42E+11,1.07E+09,6.20E+13,7.28E+11,7.69E+11,2.44E+09,43453,"39,161,856.00",0.43453,24.42763
8,29360128,2.42E+11,1.07E+09,6.20E+13,7.30E+11,7.69E+11,3.42E+09,45626,"29,360,128.00",0.45626,34.19868
10,23502848,2.42E+11,1.07E+09,6.20E+13,7.32E+11,7.69E+11,1.88E+10,939430,"23,502,848.00",9.3943,188.05514
16,14680064,2.42E+11,1.07E+09,6.20E+13,7.39E+11,7.69E+11,2.23E+10,978573,"14,680,064.00",9.78573,223.37185
32,7438335.99,2.42E+11,1.07E+09,6.20E+13,7.56E+11,7.69E+11,4.62E+10,1011192,"7,438,335.99",10.11192,461.63516
