Blocksize,Compute Latency,Global Memory Read Energy,Global Memory Write Energy,GPU Memory Read Energy,GPU Memory Write Energy,Compute Energy,Communication Energy
64,1424015357,30787399319552,1073741824,62048855654400,31269509398528,768756196311,
128,1416675325,30787399319552,1073741824,61808337485824,31028991229952,768756196311,
256,1413005309,30787399319552,1073741824,61688078401536,30908732145664,768756196311,
512,1411170301,30787399319552,1073741824,61627948859392,30848602603520,768756196311,
1024,1410252797,30787399319552,1073741824,61597884088320,30818537832448,768756196311,
